doctor_name,specialty,qualification,designation,hospital,location,experience,profile_url
Dietitian Shirajam Munira,Nutrition & Dietetics,"BSc, MSc",Senior Consultant,Ibn Sina Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dietitian-shirajam-munira-nutrition-dietetics-dhaka
Dr A.E.M.N Jahangir Selim,Cardiology,"MBBS, BCS, MD",Assistant Professor,Chattogram Medical College Hospital,Chattogram,N/A,https://doctor.bd/doctor/dr-aemn-jahangir-selim-cardiology-chattogram
Dr Abu Nesar Taib,Endocrinology,"MBBS, DEM",Diabetes Specialist,BIRDEM General Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-abu-nesar-taib-endocrinology-dhaka
Dr ASM Musa Kobir,Medicine,"MBBS, MRCP",Consultant,Kushtia 250 bed General Hospital,Kushtia,N/A,https://doctor.bd/doctor/dr-asm-musa-kobir-medicine-kushtia
Dr Md Mohsin Reza (Pallab),Oncology,"MBBS, MD, FCPS",Consultant,"Directorate General of Health Services (DGHS), Mohakhali, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/dr-md-mohsin-reza-pallab-oncology-dhaka
Dr Merina Arjumand,Nephrology,"MBBS, BCS, MCPS, MD",Consultant,Chattogram Medical College Hospital,Chattogram,N/A,https://doctor.bd/doctor/dr-merina-arjumand-nephrology-chattogram
Dr Mohammad Harun Ur Rashid,Neurosurgery,"MBBS, MS",Professor & Head,Mymensingh Medical College Hospital,Mymensingh,N/A,https://doctor.bd/doctor/dr-mohammad-harun-ur-rashid-neurosurgery-mymensingh
Dr Mohammad Monir Hossain,Pediatrics,"MBBS, MD, FCPS",Assistant Professor,National Institute of Neurosciences & Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-mohammad-monir-hossain-pediatrics-dhaka
Dr Muhammad Razaul Karim,Hepatology,"MBBS, MD, MACP, FCPS",Consultant,Bangladesh National Parliament Secretariat Medical Center,Dhaka,N/A,https://doctor.bd/doctor/dr-muhammad-razaul-karim-hepatology-dhaka
Dr Shadly T. Amim,Cardiology,"MBBS, BCS, MACP, MRCP, MD",Consultant,National Institute of Cardiovascular Disease (NICVD),Dhaka,N/A,https://doctor.bd/doctor/dr-shadly-t-amim-cardiology-dhaka
Dr Syed Aftub Uddin,General Surgery,"MBBS, BCS, MS, CCCD",Consultant,Chattogram Medical College Hospital,Chattogram,13+ Years,https://doctor.bd/doctor/dr-syed-aftub-uddin-general-surgery-chattogram
Dr Upananda Ray,Medicine,"MBBS, BCS, MACP, FCPS",Consultant,Khulna Medical College Hospital,Khulna,N/A,https://doctor.bd/doctor/dr-upananda-ray-medicine-khulna
Dr Zahid Uddin Shovon,Dermatology,"MBBS, DDV, MACP",Consultant,Sher-e-bangla Medical College Hospital,Barishal,N/A,https://doctor.bd/doctor/dr-zahid-uddin-shovon-dermatology-barishal
Dr. (Major) Md. Moshiur Rahman,Dermatology,"MBBS, DDV, FCPS",Consultant,Combined Military Hospital Sylhet,Sylhet,N/A,https://doctor.bd/doctor/dr-major-md-moshiur-rahman-dermatology-sylhet
Dr. A B M Sarwar-E-Alam,Medicine,"MBBS, FCPS",Asgar Ali Hospital,Asgar Ali Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-a-b-m-sarwar-e-alam-medicine-dhaka
Dr. A H M Abdul Hai,Pediatric Surgery,"MBBS, BCS, MS",Assistant Professor,Dhaka Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dr-a-h-m-abdul-hai-pediatric-surgery-dhaka
